Category,SubCategory,Advice,AdviceContext,SourceLink,SourceType,SourceTitle
Fundraising & Finance,Investor Relations,"After securing venture capital funding, CEOs must actively evolve their investor relationships from fundraising pitch mode to ongoing partnership mode to maximize value from board members"," ""Once you have their capital in the bank, that relationship needs to evolve: from pitching to partnership. And in a partnership, you as the CEO should expect that person, the VC, to help you make your company successful.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Governance & Board Management,Board Composition,"To leverage board members as strategic assets, CEOs should proactively share both positive and negative company information, allowing investors to provide timely help with challenges"," ""Priya needed to understand that her board members can only help if she shares the good, the bad, and the ugly with them. In fact, one of our credos at Threshold is: we want to be your first phone call - regardless of whether the news is good or bad.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Governance & Board Management,Board Meetings,"To maintain board trust and maximize meeting effectiveness, CEOs should communicate all significant company developments to board members before formal meetings unless truly last-minute"," ""Unless something happened literally in the last few hours, there is no good reason for dropping information bombs in a board meeting. Trust me: the worst of the blast will blow straight at you.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Governance & Board Management,Board Meetings,"To enable productive board meetings, distribute comprehensive board materials at least 24 hours in advance so members can properly review and prepare meaningful feedback"," ""We talk about the importance of providing a deck that has the most critical data to discuss, with ample time for the board to digest it - at least a day in advance of the meeting.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Governance & Board Management,Board Meetings,"To optimize board meeting outcomes, conduct individual preview calls with board members in the week before meetings to discuss key topics and gather initial input"," ""Many of the best entrepreneurs I know call each board member in the week before the board meeting, to preview the most important topics, share any breaking news, and ask the board member for their input in advance.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Fundraising & Finance,Investor Relations,"To build stronger investor relationships and navigate challenges more effectively, founders should develop a deep understanding of their VCs' business model, including fund structures and reporting requirements"," ""I'm actually kind of amazed that many entrepreneurs don't know the most basic things about how venture funds work, where the money comes from, how we are evaluated within our firms and by our investors, what we have to report back to our partners.""",https://www.threshold.vc/podcast/the-case-of-the-boardroom-blow-up-1/,Podcast, The Case of the Boardroom Blow-up
Fundraising & Finance,Investment Strategy,"When facing a down round, founders should recognize that lower valuations often reflect broader market conditions rather than company-specific performance issues"," ""Valuations are not absolute; they are relative to markets. So a down round is often more of a reflection of market conditions, rather than a grade on your company's performance.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
Fundraising & Finance,Investment Strategy,"When negotiating investment terms, carefully evaluate the long-term implications of trading higher valuations for complex terms like liquidation preferences, as they can significantly reduce founder returns in moderate exits"," ""If you trade a liquidation preference to get that higher valuation, your outcome will be diminished (and sometimes dramatically so) in what are still positive, preference-clearing sales in the lower to mid-range of potential outcomes.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
Fundraising & Finance,Investment Strategy,"Before accepting investment terms, model multiple exit scenarios to understand how different terms affect returns for all stakeholder classes, from common shareholders to different classes of preferred stock"," ""You should do an analysis of the terms you are considering, across the reasonable set of outcomes, to see what the impact might be. And you should consider the impact not only on you and the other common shareholders but also model it out for the various classes of preferred shareholders as well.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
Fundraising & Finance,Investment Strategy,"To avoid future conflicts during exit opportunities, carefully consider how giving different investors different terms can create misaligned incentives that complicate sale decisions"," ""When you give different investors different terms, this often creates different motivations about when they will want to compel you to sell. And that has the potential to cause some nightmare shareholder dynamics.""",https://www.threshold.vc/podcast/the-case-of-the-downer-round/,Podcast, The Case of the Downer Round
